Date,Open,High,Low,Close,"Daily Change %"
09-Aug-2021,12.61,13.11,12.03,12.61,0.00
06-Aug-2021,12.87,13.16,11.64,12.61,-2.02
05-Aug-2021,13.21,13.42,11.2,12.87,-2.57
04-Aug-2021,13.75,14.06,12.65,13.21,-3.93
03-Aug-2021,12.81,13.91,11.96,13.75,7.34
02-Aug-2021,12.8,13.09,11.52,12.81,0.08
30-Jul-2021,12.95,13.32,12.18,12.8,-1.16
29-Jul-2021,13.69,13.69,12.44,12.95,-5.41
28-Jul-2021,13.23,15.98,11.36,13.69,3.48
27-Jul-2021,12.45,13.53,12.1,13.23,6.27
26-Jul-2021,11.76,12.54,10.4,12.45,5.87
23-Jul-2021,11.89,12.12,11.57,11.76,-1.09
22-Jul-2021,13.21,13.21,11.72,11.89,-9.99
20-Jul-2021,12.68,14.09,11.79,13.21,4.18
19-Jul-2021,11.71,13.2,11.71,12.68,8.28
16-Jul-2021,12.27,12.37,11.63,11.71,-4.56
15-Jul-2021,12.59,12.95,11.08,12.27,-2.54
14-Jul-2021,12.62,12.96,10.49,12.59,-0.24
13-Jul-2021,12.99,12.99,10.67,12.62,-2.85
12-Jul-2021,12.94,13.61,11.81,12.99,0.39
09-Jul-2021,13.56,14,12.18,12.94,-4.57
08-Jul-2021,12.21,14.01,12.06,13.56,11.06
07-Jul-2021,12.28,12.59,11.15,12.21,-0.57
06-Jul-2021,12.07,12.36,11.29,12.28,1.74
05-Jul-2021,12.09,12.62,11.99,12.07,-0.17
02-Jul-2021,12.84,13.02,12.02,12.09,-5.84
01-Jul-2021,13.05,13.28,12.33,12.84,-1.61
30-Jun-2021,13,13.14,12.6,13.05,0.38
29-Jun-2021,13.4,13.4,12.9,13,-2.99
28-Jun-2021,13.37,13.77,13.12,13.4,0.22
25-Jun-2021,15.1,15.27,13.28,13.37,-11.46
24-Jun-2021,15.37,15.64,14.93,15.1,-1.76
23-Jun-2021,14.74,15.54,13.63,15.37,4.27
22-Jun-2021,15.06,15.11,14.43,14.74,-2.12
21-Jun-2021,14.8,16.46,14.38,15.06,1.76
18-Jun-2021,15.29,16.62,10.6,14.8,-3.20
17-Jun-2021,14.87,16.05,14.53,15.29,2.82
16-Jun-2021,14.61,15.32,13.62,14.87,1.78
15-Jun-2021,14.72,15.16,13.28,14.61,-0.75
14-Jun-2021,14.1,15.31,13.74,14.72,4.40
11-Jun-2021,15,15,13.94,14.1,-6.00
10-Jun-2021,14.75,15.2,14.18,15,1.69
09-Jun-2021,15.23,15.74,11.95,14.75,-3.15
08-Jun-2021,15.57,15.6,13.57,15.23,-2.18
07-Jun-2021,15.94,15.94,14.74,15.57,-2.32
04-Jun-2021,15.75,16.38,14.94,15.94,1.21
03-Jun-2021,17.21,17.21,14.15,15.75,-8.48
02-Jun-2021,17.39,17.65,15.17,17.21,-1.04
01-Jun-2021,16.89,17.96,15.31,17.39,2.96
31-May-2021,17.4,17.99,16.43,16.89,-2.93
28-May-2021,19.91,19.91,17.36,17.4,-12.61
27-May-2021,20.87,21.32,18.35,19.91,-4.60
26-May-2021,18.84,21.3,17.23,20.87,10.77
25-May-2021,19.13,21.05,17.69,18.84,-1.52
24-May-2021,19.08,19.89,18.72,19.13,0.26
21-May-2021,19.65,19.65,17.13,19.08,-2.90
20-May-2021,19.32,19.84,18.09,19.65,1.71
